Año;Mes;Lote;Residuo;Distrito;NOMBRE;Total
2023;enero;1;PAPEL-CARTON;1;Centro;466,38
2023;enero;1;PAPEL-CARTON;6;Tetuán;400,56
2023;enero;1;PAPEL-CARTON;7;Chamberí;311,44
2023;enero;1;PAPEL-CARTON;8;Fuencarral - El Pardo;730,4
2023;enero;1;PAPEL-CARTON;9;Moncloa - Aravaca;357,86
2023;enero;1;PAPEL-CARTON;10;Latina;380,18
2023;enero;1;CARTON COMERCIAL;1;Centro;199,14
2023;enero;1;CARTON COMERCIAL;6;Tetuán;62,7
2023;enero;1;CARTON COMERCIAL;7;Chamberí;103,18
2023;enero;1;CARTON COMERCIAL;8;Fuencarral - El Pardo;26,56
2023;enero;1;CARTON COMERCIAL;10;Latina;27,1
2023;enero;1;CAMA DE CABALLO;9;Moncloa - Aravaca;59,49
2023;enero;1;CLINICOS;1;Centro;167
2023;enero;1;CLINICOS;6;Tetuán;18
2023;enero;1;CLINICOS;8;Fuencarral - El Pardo;322,08
2023;enero;1;CLINICOS;9;Moncloa - Aravaca;237,24
2023;enero;1;CLINICOS;10;Latina;40,64
2023;enero;1;CONTENEDORES DE ROPA;8;Fuencarral - El Pardo;0,36
2023;enero;1;ENVASES;1;Centro;277,72
2023;enero;1;ENVASES;6;Tetuán;473,06
2023;enero;1;ENVASES;7;Chamberí;453,38
2023;enero;1;ENVASES;8;Fuencarral - El Pardo;760,46
2023;enero;1;ENVASES;9;Moncloa - Aravaca;421,16
2023;enero;1;ENVASES;10;Latina;723
2023;enero;1;ORGANICA;1;Centro;1220,74
2023;enero;1;ORGANICA;6;Tetuán;901,14
2023;enero;1;ORGANICA;7;Chamberí;923,74
2023;enero;1;ORGANICA;8;Fuencarral - El Pardo;1596,42
2023;enero;1;ORGANICA;9;Moncloa - Aravaca;1018,16
2023;enero;1;ORGANICA;10;Latina;1305,22
2023;enero;1;PUNTOS LIMPIOS;8;Fuencarral - El Pardo;118,6
2023;enero;1;PUNTOS LIMPIOS;9;Moncloa - Aravaca;48,5
2023;enero;1;PUNTOS LIMPIOS;10;Latina;120,24
2023;enero;1;RCD;1;Centro;93,115
2023;enero;1;RCD;6;Tetuán;59,66
2023;enero;1;RCD;7;Chamberí;51,195
2023;enero;1;RCD;8;Fuencarral - El Pardo;103,815
2023;enero;1;RCD;9;Moncloa - Aravaca;71,07
2023;enero;1;RCD;10;Latina;67,1
2023;enero;1;RESTO;1;Centro;4197,54
2023;enero;1;RESTO;6;Tetuán;2337,14
2023;enero;1;RESTO;7;Chamberí;2018,82
2023;enero;1;RESTO;8;Fuencarral - El Pardo;3268,44
2023;enero;1;RESTO;9;Moncloa - Aravaca;2171,1
2023;enero;1;RESTO;10;Latina;3224,38
2023;enero;1;VIDRIO;1;Centro;699,22
2023;enero;1;VIDRIO;6;Tetuán;357,3
2023;enero;1;VIDRIO;7;Chamberí;291,94
2023;enero;1;VIDRIO;8;Fuencarral - El Pardo;464,8
2023;enero;1;VIDRIO;9;Moncloa - Aravaca;228,7
2023;enero;1;VIDRIO;10;Latina;218,6
2023;enero;1;VIDRIO COMERCIAL;1;Centro;68,26
2023;enero;1;ROPA;1;Centro;9,385
2023;enero;1;ROPA;6;Tetuán;3,49
2023;enero;1;ROPA;7;Chamberí;9,397
2023;enero;1;ROPA;8;Fuencarral - El Pardo;7,5
2023;enero;1;ROPA;9;Moncloa - Aravaca;1,21
2023;enero;1;ROPA;10;Latina;4,11
2023;enero;2;PAPEL-CARTON;3;Retiro;302,86
2023;enero;2;PAPEL-CARTON;4;Salamanca;479,78
2023;enero;2;PAPEL-CARTON;5;Chamartín;310,42
2023;enero;2;PAPEL-CARTON;14;Moratalaz;195,6
2023;enero;2;PAPEL-CARTON;15;Ciudad Lineal;455,16
2023;enero;2;PAPEL-CARTON;16;Hortaleza;384,32
2023;enero;2;PAPEL-CARTON;19;Vicálvaro;122,44
2023;enero;2;PAPEL-CARTON;20;San Blas - Canillejas;288,3
2023;enero;2;PAPEL-CARTON;21;Barajas;124,3
2023;enero;2;CARTON COMERCIAL;3;Retiro;34
2023;enero;2;CARTON COMERCIAL;4;Salamanca;99,96
2023;enero;2;CARTON COMERCIAL;5;Chamartín;85,14
2023;enero;2;CARTON COMERCIAL;14;Moratalaz;22,64
2023;enero;2;CARTON COMERCIAL;15;Ciudad Lineal;73,4
2023;enero;2;CARTON COMERCIAL;16;Hortaleza;72,22
2023;enero;2;CARTON COMERCIAL;19;Vicálvaro;24,5
2023;enero;2;CARTON COMERCIAL;20;San Blas - Canillejas;53,7
2023;enero;2;CARTON COMERCIAL;21;Barajas;17,58
2023;enero;2;CLINICOS;3;Retiro;185,5
2023;enero;2;CLINICOS;4;Salamanca;116,6
2023;enero;2;CLINICOS;15;Ciudad Lineal;123,7
