PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,METRO,BUS,RENFE,BICIMAD,APARCAMIENTOS,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
5989871,Auditorio Carmen Laforet (Ciudad Lineal),Ubicado en el Centro de Mayores Carmen Laforet,"De lunes a sábado, de 9 a 21 horas.","|METRO: Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)  |BUS: 29, 125, 129, 150","Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)  ","29, 125, 129, 150",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD,CALLE JAZMIN,46,CIUDAD LINEAL,40.47967249471556,-3.6657243894913565,913 831 456,cscsiena@madrid.es,AuditoriosSalasConcierto
2389,Auditorio al aire libre. Parque del Calero,,,"|METRO: Quintana (línea 5), Barrio de la Concepción (línea 7).  |BUS: 21, 146, 48.  |BICIMAD: Estación 229 (calle José del Hierro, 5).","Quintana (línea 5), Barrio de la Concepción (línea 7).  ","21, 146, 48.  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD,CALLE JOSE DEL HIERRO,3,CIUDAD LINEAL,40.43629956289038,-3.6504096146979457,"917654317 - Únicamente información sobre la propia instalación, la información sobre las actividades se consulta a través de las publicaciones especificas de cada una de ellas.",cultuclineal@madrid.es,AuditoriosSalasConcierto
139451,Auditorio y sala de exposiciones Paco de Lucía (Latina),,Cerrado durante todo el mes de agosto.,"|METRO. Línea 5. Estación: Aluche. |BUS. Líneas: 138, 139, 155, 17. |RENFE RENFE. Línea C 5. Estación: Aluche.",Línea 5. Estación: Aluche. ,"Líneas: 138, 139, 155, 17. ",Línea C 5. Estación: Aluche.,Línea C 5. Estación: Aluche.,Línea C 5. Estación: Aluche.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD,AVENIDA LAS AGUILAS,2,LATINA,40.38493929920335,-3.7641963952601154,915 120 890,Sin email,CentrosCulturales
84763,Centro Comunitario Casino de la Reina,,"De apertura   De lunes a viernes, de 8:30 a 21:30 horas Sábados, de 10 a 15 horas y de 16 a 21:30 horas Domingos cerrado.   De atención de los Trabajadores Sociales Comunitarios (no es necesaria cita previa)   Lunes a jueves, de 9 a 19 horas Viernes, de 9 a 14 horas Julio y agosto, de 9 a 15 horas.","|METRO: Embajadores (líneas 3 y 5)  |BUS: M1, 148, 41, 60, C03, C1  |RENFE: Embajadores (C5)       |APARCAMIENTOS: Casino de la Reina (19), C/ Casino",Embajadores (líneas 3 y 5)  ,"M1, 148, 41, 60, C03, C1  ",Embajadores (C5)       ,Embajadores (C5)       ,Embajadores (C5)       ,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=326f38d60b41c010VgnVCM2000000c205a0aRCRD,CALLE CASINO,3,CENTRO,40.40681802964019,-3.704690072394306,91 539 63 10,cccreina@madrid.es,CentrosServiciosSociales
1914,Centro Cultural - Centro Socio Cultural Villa de Barajas,,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.   En el mes de agosto los dos centros permanecen cerrados.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Barajas (línea 8)  |BUS: 101, 105, 115",Barajas (línea 8)  ,"101, 105, 115",Sin renfe,Sin renfe,Sin renfe,"ACCESSIBLE,TACTILE PAVING,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE BOTICA,7,BARAJAS,40.47324881250678,-3.5784908616003723,913 291 803,ccvillabarajas@madrid.es,CentrosCulturales
117288,Centro Cultural Agustín Díaz (Moncloa - Aravaca),,"De lunes a viernes, de 9 a 14 horas. Miércoles y jueves de 15 a 17 horas.  Verano. De lunes a viernes de 9 a 14 horas. Semana de San Isidro. De lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 41, 75.",Sin metro,"41, 75.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD,PASEO COMANDANTE FORTEA,42,MONCLOA-ARAVACA,40.427538776051804,-3.732422725110936,915 487 772,ccadiaz@madrid.es,CentrosCulturales
118067,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),,Centro: de lunes a viernes de 9 a 14 y de 16 a 21.30 h   Secretaría: de lunes a jueves de 9:30  a 14 y de 16:30 a 18. Viernes de 9:30 a 13:30 h.,"|BUS: 49 , 64",Sin metro,"49 , 64",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD,GLORIETA PRADERA DE VAQUERIZAS,9,FUENCARRAL-EL PARDO,40.49082275610172,-3.7216054330053647,913 767 085,ccakraus@madrid.es,CentrosCulturales
1942,Centro Cultural Antonio Machado (San Blas - Canillejas),,"De lunes a viernes, de 10 a 13:30 y de 17 a 18:30 horas.   Julio, de lunes a viernes de 10 a 13:30 horas.   Agosto, secretaría cerrada.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Alsacia (línea 2)  |BUS: 4, 70, 165, 167, 38, 48",Alsacia (línea 2)  ,"4, 70, 165, 167, 38, 48",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE SAN ROMAN DEL VALLE,8,SAN BLAS-CANILLEJAS,40.420280457570335,-3.621730741880216,Sin teléfono,ccamachado@madrid.es,CentrosCulturales
52511,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),,,"|METRO: Simancas (línea 7).  |BUS: 109, 38.",Simancas (línea 7).  ,"109, 38.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD,AVENIDA ARCENTALES,4,SAN BLAS-CANILLEJAS,40.42996840999023,-3.622184001035289,915 888 065,cultusanblas@madrid.es,AuditoriosSalasConcierto
64851,Centro Cultural Buenavista (Salamanca),,"De lunes a jueves, 9 a 14 horas y de 16 a 18 horas. Viernes, de 9 a 14 horas. Verano: de lunes a viernes, de 9 a 14 horas. Agosto: secretaría cerrada. Septiembre, de lunes a jueves, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Diego de León (líneas 4 , 5 , 6)  |BUS: 48, 12, 210, 56, C2, 74  |BICIMAD: Estación 192 (avenida de los Toreros, 3)","Diego de León (líneas 4 , 5 , 6)  ","48, 12, 210, 56, C2, 74  ",Sin renfe,Sin renfe,Sin renfe,PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD,AVENIDA TOREROS,5,SALAMANCA,40.43200210571468,-3.6709293330780204,917 240 800,ccbuenavista@madrid.es,CentrosCulturales
