PK,NOMBRE,same_as_wikidata_museum,DESCRIPCION-ENTIDAD,HORARIO,METRO,same_as_wikidata_metro,BUS,RENFE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,same_as_wikidata_direccion,NUM,DISTRITO,same_as_wikidata_distrito,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
5989871,Auditorio Carmen Laforet (Ciudad Lineal),,Ubicado en el Centro de Mayores Carmen Laforet,"De lunes a sabado, de 9 a 21 horas.",Pinar de Chamartin,https://www.wikidata.org/entity/Q921800,"29, 125, 129, 150",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD,CALLE JAZMIN,,46,Ciudad Lineal,https://www.wikidata.org/entity/Q1763694,40.47967249471556,-3.6657243894913565,913 831 456,cscsiena@madrid.es,AuditoriosSalasConcierto
2389,Auditorio al aire libre. Parque del Calero,,,,Quintana,https://www.wikidata.org/entity/Q2480845,"21, 146, 48.  ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD,"Calle de Jose del Hierro, Madrid",https://www.wikidata.org/entity/Q29910699,3,Ciudad Lineal,https://www.wikidata.org/entity/Q1763694,40.43629956289038,-3.6504096146979457,"917654317 - unicamente informacion sobre la propia instalacion, la informacion sobre las actividades se consulta a traves de las publicaciones especificas de cada una de ellas.",cultuclineal@madrid.es,AuditoriosSalasConcierto
139451,Auditorio y sala de exposiciones Paco de Lucia (Latina),,,Cerrado durante todo el mes de agosto.,Aluche,https://www.wikidata.org/entity/Q2058531,"Lineas: 138, 139, 155, 17. ",Linea C 5. Estacion: Aluche.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD,"Avenida de Las Aguilas, Madrid",https://www.wikidata.org/entity/Q29405114,2,Latina,https://www.wikidata.org/entity/Q794954,40.38493929920335,-3.7641963952601154,915 120 890,Sin email,CentrosCulturales
84763,Centro Comunitario Casino de la Reina,,,"De apertura   De lunes a viernes, de 8:30 a 21:30 horas Sabados, de 10 a 15 horas y de 16 a 21:30 horas Domingos cerrado.   De atencion de los Trabajadores Sociales Comunitarios (no es necesaria cita previa)   Lunes a jueves, de 9 a 19 horas Viernes, de 9 a 14 horas Julio y agosto, de 9 a 15 horas.",Acacias / Embajadores,https://www.wikidata.org/entity/Q2305840,"M1, 148, 41, 60, C03, C1  ",Embajadores (C5)       ,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=326f38d60b41c010VgnVCM2000000c205a0aRCRD,"Calle del Casino, Madrid",https://www.wikidata.org/entity/Q26248358,3,Centro,https://www.wikidata.org/entity/Q1763376,40.40681802964019,-3.704690072394306,91 539 63 10,cccreina@madrid.es,CentrosServiciosSociales
1914,Centro Cultural - Centro Socio Cultural Villa de Barajas,,,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.   En el mes de agosto los dos centros permanecen cerrados.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Barajas,https://www.wikidata.org/entity/Q2474414,"101, 105, 115",Sin Renfe,"ACCESSIBLE,TACTILE PAVING,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE BOTICA,,7,Barajas,https://www.wikidata.org/entity/Q807230,40.47324881250678,-3.5784908616003723,913 291 803,ccvillabarajas@madrid.es,CentrosCulturales
117288,Centro Cultural Agustin Diaz (Moncloa - Aravaca),,,"De lunes a viernes, de 9 a 14 horas. Miercoles y jueves de 15 a 17 horas.  Verano. De lunes a viernes de 9 a 14 horas. Semana de San Isidro. De lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,"41, 75.",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD,PASEO COMANDANTE FORTEA,,42,Moncloa-Aravaca,https://www.wikidata.org/entity/Q2017682,40.427538776051804,-3.732422725110936,915 487 772,ccadiaz@madrid.es,CentrosCulturales
118067,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),,,Centro: de lunes a viernes de 9 a 14 y de 16 a 21.30 h   Secretaria: de lunes a jueves de 9:30  a 14 y de 16:30 a 18. Viernes de 9:30 a 13:30 h.,Sin metro,,"49 , 64",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD,GLORIETA PRADERA DE VAQUERIZAS,,9,Fuencarral-El Pardo,https://www.wikidata.org/entity/Q656196,40.49082275610172,-3.7216054330053647,913 767 085,ccakraus@madrid.es,CentrosCulturales
1942,Centro Cultural Antonio Machado (San Blas - Canillejas),,,"De lunes a viernes, de 10 a 13:30 y de 17 a 18:30 horas.   Julio, de lunes a viernes de 10 a 13:30 horas.   Agosto, secretaria cerrada.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Alsacia,https://www.wikidata.org/entity/Q3613056,"4, 70, 165, 167, 38, 48",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE SAN ROMAN DEL VALLE,,8,San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,40.420280457570335,-3.621730741880216,Sin telefono,ccamachado@madrid.es,CentrosCulturales
52511,Centro Cultural Auditorio Parque El Paraiso (San Blas - Canillejas),,,,Simancas,https://www.wikidata.org/entity/Q2481349,"109, 38.",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD,"Avenida de Arcentales, Madrid",https://www.wikidata.org/entity/Q56155322,4,San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,40.42996840999023,-3.622184001035289,915 888 065,cultusanblas@madrid.es,AuditoriosSalasConcierto
64851,"Centro Cultural Buenavista, Madrid",https://www.wikidata.org/entity/Q47012449,,"De lunes a jueves, 9 a 14 horas y de 16 a 18 horas. Viernes, de 9 a 14 horas. Verano: de lunes a viernes, de 9 a 14 horas. Agosto: secretaria cerrada. Septiembre, de lunes a jueves, de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Diego de Leon,https://www.wikidata.org/entity/Q2055658,"48, 12, 210, 56, C2, 74  ",Sin Renfe,PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD,"Avenida de los Toreros, Madrid",https://www.wikidata.org/entity/Q29918658,5,Salamanca,https://www.wikidata.org/entity/Q1773521,40.43200210571468,-3.6709293330780204,917 240 800,ccbuenavista@madrid.es,CentrosCulturales
