PK,NOMBRE,same_as_wikidata_museum,DESCRIPCION-ENTIDAD,HORARIO,METRO,same_as_wikidata_metro,BUS,RENFE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,same_as_wikidata_direccion,NUM,DISTRITO,same_as_wikidata_distrito,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
4847190,House-Museum of Lope de Vega,https://www.wikidata.org/entity/Q948580,"'Mi casilla, mi quietud, mi g&amp;uuml;ertecillo y estudio'. Asi define su casa Felix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro historico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivio sus ultimos 25 anos. La recreacion de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliograficas vinculadas al literato y su tiempo. ","De martes a domingo, de 10 a 18 horas.  Cerrado los lunes, dias 1 y 6 de enero, 1 de mayo, 9 de noviembre y 24, 25 y 31 de diciembre. El acceso al museo se hace mediante visitas guiadas en grupo. Es imprescindible reservar con antelacion, por telefono o correo electronico.",Anton Martin,https://www.wikidata.org/entity/Q2473940,"002, M1, 001, 10, 14, 27, 34, 37, 45, C03, 26, 32, 6, 51,   ", Sol (lineas C3 y C4).    ,"NOT ACCESSIBLE,SIGN LANGUAGE",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,"Calle de Cervantes, Madrid",https://www.wikidata.org/entity/Q20014008,11,Centro,https://wikidata.org/entity/Q1763376,40.414358466555235,-3.6974741545860015,914 299 216,casamuseolopedevega@madrid.org,Museos
4949641,Category:Casita-Museo del Raton Perez,https://www.wikidata.org/entity/Q107291466,"La Casita-Museo de Raton Perez, constituye un singular lugar que da la bienvenida a cuantos visitantes alli acuden con el deseo de conocer y encontrarse con este extraordinario, unico, madrileno y universal raton. Reserva de entradas presicialmente y a traves de  whatsapp  634 742 768.",Visitas:     Lunes: 11 a 14 horas.   Martes a viernes: 11 a 14 y 17 a 20 horas.   Sabados: 11 a 14:30 y 16 a 20 horas.   Domingos y festivos: 11 a 14:30 y 16 a 20 horas (cerrado 25 de diciembre y 1 y 6 de enero).,Sol,https://www.wikidata.org/entity/Q1766008,50.  ,"Sol (lineas C3, C4, C4a, C4b y Regional).   ",NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,Calle del Arenal,https://www.wikidata.org/entity/Q5740980,8,Centro,https://wikidata.org/entity/Q1763376,40.4170597715272,-3.7055199334442492,915 226 968,info@casamuseoratonperez.es,Museos
5682031,Castillo de la Alameda,,"El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo el y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la epoca Romana.En el edificio se realizan talleres para escolares y actividades en verano. Accesibilidad   Rampas de acceso (las rampas de acceso en estos momentos estan inhabilitadas) Aseos adaptados para personas con movilidad reducida. Informacion en Braille para personas con discapacidad visual.","Abierto solo en fin de semana (sabado y domingo) y festivos (lunes festivos incluidos)  Del 1 de abril al 15 de junio de 10 a 21 horas. Del 16 de junio al 15 de septiembre de 10 a 20 horas. Del 15 al 30 de septiembre de 10 a 21 horas. De octubre a marzo de 10 a 18 horas.  Cerrado: 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.",Alameda de Osuna,https://www.wikidata.org/entity/Q2403543,"101, 105, 112, 114, 115 y 151.",Sin Renfe,"ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,CALLE ANTONIO SANCHA,,1,Barajas,https://wikidata.org/entity/Q807230,40.45835460563491,-3.5932903820278788,913 667 415,castilloalameda@madrid.es,MonumentosEdificiosArtisticos
2064,Cason del Buen Retiro,https://www.wikidata.org/entity/Q3321174,"El Centro de Estudios del Prado esta ubicado en el Cason del Buen Retiro, que aloja ademas la Biblioteca, el Archivo, el Centro de Documentacion y los Departamentos de Conservacion del Museo Nacional del Prado. Descripcion monumental  El Cason o Salon de Baile es el unico volumen que permanece del antiguo Palacio del buen Retiro, ejecutado en 1637 con un proyecto de Alonso Carbonel. Aun se conserva la boveda de canon con lunetas, pintada al fresco por Lucas Jordan en 1692 con la Alegoria del Toison de Oro. Su fachada principal, a poniente, arrasada la primitiva en 1886 por un ciclon, es de Velazquez Bosco. La ultima rehabilitacion ha sido realizada por Jaime Torruell.",,Estacion del Arte,https://www.wikidata.org/entity/Q2016175,19.  ,"Atocha (lineas C1, C2, C3, C4, C4a, C4b, C5, C7 y C10).   ",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,Calle de Alfonso XII,https://www.wikidata.org/entity/Q5659170,28,Retiro,https://wikidata.org/entity/Q2002296,40.41527545361461,-3.689222446432277,Sin telefono,centro.estudios@museodelprado.es,MonumentosEdificiosArtisticos
2069,Museo de Artes y Tradiciones Populares,https://www.wikidata.org/entity/Q52247359,,"Lunes a viernes de 10 a 20 horas. Sabados de 10 a 14 horas. Cerrado domingos, festivos y mes de agosto, 24 y 31 diciembre.",La Latina,https://www.wikidata.org/entity/Q1115250,"002, 17, 18, 23, 35, 60.   ",Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c39ef4d7f71c010VgnVCM1000000b205a0aRCRD,"Calle de Carlos Arniches, Madrid",https://www.wikidata.org/entity/Q25410886,3,Centro,https://wikidata.org/entity/Q1763376,40.408827275648434,-3.7083241323093614,914 976 500,museoatp@uam.es / lacorrala@uam.es,Museos
6469186,Royal Chapel of St. Anthony of La Florida,https://www.wikidata.org/entity/Q3109752,"Ermita dedicada a San Antonio de Padua y pequeno museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se traslado el culto a una ermita gemela construida a su lado, dejando el edificio original como museo. ","General   De martes a domingos de 9:30 a 20 horas.   Verano (del 15 de junio al 15 de septiembre)   De martes a viernes de 9:30 a 14 horas y de 15 a 19 horas. Sabados y domingos de 9:30 a 19 horas.   Cerrado:  lunes (incluidos festivos), 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.  ultimo pase de visita: 20 minutos antes del cierre (el desalojo de las salas comenzara 10 minutos antes) Este horario y la apertura de salas pueden sufrir modificaciones.",Principe Pio,https://www.wikidata.org/entity/Q2527066,"41, 46 y 75 (Intercambiador Principe Pio)  ",Principe Pio  BICIMAD: Estacion 161 (Paseo de la Florida 8),"PARTIALLY ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,"Glorieta de San Antonio de la Florida, Madrid",https://www.wikidata.org/entity/Q66054108,5,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,40.425256682855846,-3.725725718176111,915 420 722 o 683 429 760,sanantonio@madrid.es,MonumentosEdificiosArtisticos
58353,Espacio Fundacion Telefonica,,,"De martes a domingo, de 10 a 20 horas. Cerrado al publico todos los lunes y dias 25 de diciembre, 1 y 6 de enero.",Gran Via,https://www.wikidata.org/entity/Q2729745,"001, 002, 1, 146, 2, 46, 74, 3.   ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,calle de Fuencarral,https://www.wikidata.org/entity/Q5740840,3,Centro,https://wikidata.org/entity/Q1763376,40.42042493125648,-3.701594573150366,915 808 700 (informacion general) / 659 158 011 (visitas guiadas y talleres educativos),espacio@fundaciontelefonica.com,Museos
6017808,Fuente del Rey House-Museum,https://www.wikidata.org/entity/Q28808141,,"Martes a sabado, de 10 a 19 horas. Lunes, domingos y festivos cerrado. Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guia propio o con guia de la Fundacion, y la duracion de la misma es de una hora, previa reserva telefonica o por email.",Sin metro,,161.,Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,CALLE FUENTE DEL REY,,11,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,40.45546866305681,-3.7705716814130965,913 579 116,info@fundacionamyc.org,FundacionesCulturales
103331,La Casa Encendida,https://www.wikidata.org/entity/Q5962732,"Edificio de caracter monumental. De estilo neomudejar, fue disenado por el arquitecto Fernando Arbos e inaugurado en el ano 1913. Cuenta con mas de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea. Centro social y cultural. ",De martes a domingo de 10 a 22 horas.,Acacias / Embajadores,https://www.wikidata.org/entity/Q2305840,"119, 27, 34, 36, 41, C03, C2, C1, 148, 60, 75, M1  ",Embajadores (linea C5)   ,"ACCESSIBLE,SIGN LANGUAGE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,Ronda de Valencia,https://www.wikidata.org/entity/Q16626200,2,Centro,https://wikidata.org/entity/Q1763376,40.40596221830597,-3.6997720739017033,902 430 322,Sin email,MonumentosEdificiosArtisticos
5873478,Museo ABC,https://www.wikidata.org/entity/Q21564330,"Centro de arte, dibujo e ilustracion. ",Consultar.,San Bernardo,https://www.wikidata.org/entity/Q2055810,"M2, C1, C3, 1, 2, 3, 21, 44, 133, 147, 001, 002    ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,calle de Amaniel,https://www.wikidata.org/entity/Q24694982,29,Centro,https://wikidata.org/entity/Q1763376,40.42741121610518,-3.709539260414957,917 588 379,info_museo@abc.es,Museos
