Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Counties,Zip Code,Town Index,Planning Regions
BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4764687 41.072882),1040,5,35,9
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.773473 41.527367),1044,199,80,7
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001),1044,138,6,4
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3825 41.3102778),1043,56,106,3
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.264511 41.143125),1040,111,51,2
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.0741188 41.525611),1045,14,104,8
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.759717 41.722672),1041,213,155,1
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6086744 41.711717),1041,90,54,1
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,POINT (-73.476189 41.072919),1040,5,35,9
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973),1045,243,59,8
Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.025659 41.550922),1044,194,151,4
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.79061800000001 41.730405),1041,254,52,1
D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours,NONE,1,1,NONE,POINT (-73.106051 41.299792),1040,217,126,4
CT RAIL,198 N Cherry St,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954),1044,195,148,7
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.679679 41.650999),1041,189,119,1
Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.466318 41.078282),1040,5,35,9
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-72.926722 41.297487000000004),1044,132,93,7
Easton Public Library,691 Morehouse Rd,Easton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.297822 41.251966),1040,42,46,2
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NONE,POINT (-72.562282 41.80452),1041,161,77,1
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily,NONE,2,NONE,NONE,POINT (-73.138786 41.988528),1042,49,29,6
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-71.961361 41.37356200000001),1045,135,137,8
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,POINT (-72.670609 41.929342),1041,21,165,1
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F,NONE,1,NONE,NONE,POINT (-72.261825 41.811817),38,33,78,1
Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,POINT (-72.560456 41.263416),1044,134,76,7
Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.770648 41.649365),1041,17,89,1
Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.195701 41.768396),38,32,78,1
WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,NONE,2,NONE,NONE,POINT (-73.1049768 41.8750604),1042,122,143,6
TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.070231 41.7640244),1042,228,66,6
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.065994 41.317722),,243,59,8
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6824246 41.5871612),1043,236,83,3
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.230597 41.176442),1040,174,51,2
Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.188445 41.728247),39,258,163,8
