PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,distrito_wikidata,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
5989871,Auditorio Carmen Laforet (Ciudad Lineal),Ubicado en el Centro de Mayores Carmen Laforet,"De lunes a sábado, de 9 a 21 horas.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD,JAZMIN,CALLE,V,46,MADRID,MADRID,28033,9,COSTILLARES,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,443573,4481211,40.47967249471556,-3.6657243894913565
2389,Auditorio al aire libre. Parque del Calero,Not informed Value,Not informed Value,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD,JOSE DEL HIERRO,CALLE,V,3,MADRID,MADRID,28027,4,CONCEPCION,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,444836,4476387,40.43629956289038,-3.6504096146979457
139451,Auditorio y sala de exposiciones Paco de Lucía (Latina),Not informed Value,Cerrado durante todo el mes de agosto.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD,LAS AGUILAS,AVENIDA,V,2,MADRID,MADRID,28044,7,LAS AGUILAS,10,Latina,https://wikidata.org/entity/Q794954,435135,4470763,40.38493929920335,-3.7641963952601154
84763,Centro Comunitario Casino de la Reina,Not informed Value,"De apertura   De lunes a viernes, de 8:30 a 21:30 horas Sábados, de 10 a 15 horas y de 16 a 21:30 horas Domingos cerrado.   De atención de los Trabajadores Sociales Comunitarios (no es necesaria cita previa)   Lunes a jueves, de 9 a 19 horas Viernes, de 9 a 14 horas Julio y agosto, de 9 a 15 horas.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=326f38d60b41c010VgnVCM2000000c205a0aRCRD,CASINO,CALLE,V,3,MADRID,MADRID,28005,2,EMBAJADORES,1,Centro,https://wikidata.org/entity/Q1763376,440206,4473149,40.40681802964019,-3.704690072394306
1914,Centro Cultural - Centro Socio Cultural Villa de Barajas,Not informed Value,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.   En el mes de agosto los dos centros permanecen cerrados.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","1,5,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD,BOTICA,CALLE,V,7,MADRID,MADRID,28042,3,CASCO H.BARAJAS,21,Barajas,https://wikidata.org/entity/Q807230,450962,4480446,40.47324881250678,-3.5784908616003723
117288,Centro Cultural Agustín Díaz (Moncloa - Aravaca),Not informed Value,"De lunes a viernes, de 9 a 14 horas. Miércoles y jueves de 15 a 17 horas.  Verano. De lunes a viernes de 9 a 14 horas. Semana de San Isidro. De lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD,COMANDANTE FORTEA,PASEO,V,42,MADRID,MADRID,28008,1,CASA DE CAMPO,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,437873,4475469,40.427538776051804,-3.732422725110936
118067,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),Not informed Value,Centro: de lunes a viernes de 9 a 14 y de 16 a 21.30 h   Secretaría: de lunes a jueves de 9:30  a 14 y de 16:30 a 18. Viernes de 9:30 a 13:30 h.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD,PRADERA DE VAQUERIZAS,GLORIETA,V,9,MADRID,MADRID,28035,7,MIRASIERRA,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,438848,4482487,40.49082275610172,-3.7216054330053647
1942,Centro Cultural Antonio Machado (San Blas - Canillejas),Not informed Value,"De lunes a viernes, de 10 a 13:30 y de 17 a 18:30 horas.   Julio, de lunes a viernes de 10 a 13:30 horas.   Agosto, secretaría cerrada.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,SAN ROMAN DEL VALLE,CALLE,V,8,MADRID,MADRID,28037,4,ARCOS,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,447255,4474591,40.420280457570335,-3.621730741880216
52511,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),Not informed Value,Not informed Value,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD,ARCENTALES,AVENIDA,V,4,MADRID,MADRID,28037,2,HELLIN,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,447225,4475668,40.42996840999023,-3.622184001035289
64851,Centro Cultural Buenavista (Salamanca),Not informed Value,"De lunes a jueves, 9 a 14 horas y de 16 a 18 horas. Viernes, de 9 a 14 horas. Verano: de lunes a viernes, de 9 a 14 horas. Agosto: secretaría cerrada. Septiembre, de lunes a jueves, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD,TOREROS,AVENIDA,V,5,MADRID,MADRID,28028,4,GUINDALERA,4,Salamanca,https://wikidata.org/entity/Q1773521,443092,4475923,40.43200210571468,-3.6709293330780204
1943,Centro Cultural Buero Vallejo (San Blas - Canillejas),Not informed Value,"De lunes a viernes, de 9:30 a 13:30 y de 16:30 a 18 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,BOLTAÑA,CALLE,V,27,MADRID,MADRID,28022,7,CANILLEJAS,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,448023,4477305,40.44477474902185,-3.6129105844633775
118317,Centro Cultural Carril del Conde (Hortaleza),Not informed Value,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Verano y semana de San Isidro, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD,CARRIL DEL CONDE,CALLE,V,57,MADRID,MADRID,28043,3,CANILLAS,16,Hortaleza,https://wikidata.org/entity/Q1928529,444516,4479119,40.46088953531134,-3.6544210187969433
1945,Centro Cultural Casa de Vacas (Retiro),Not informed Value,De 10 a 21 horas.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,COLOMBIA,PASEO,V,1,MADRID,MADRID,28009,5,LOS JERONIMOS,3,Retiro,https://wikidata.org/entity/Q2002296,441967,4474495,40.41906024374356,-3.6840615387926956
1925,Centro Cultural Casa del Reloj (Arganzuela),Not informed Value,"De lunes a viernes, de 10 a 13 y de 17 a 19 horas.   Verano y semana de San Isidro: de lunes a viernes, de 9 a 14 horas.   Agosto cerrado.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,CHOPERA,PASEO,V,6,MADRID,MADRID,28045,3,CHOPERA,2,Arganzuela,https://wikidata.org/entity/Q2000929,440559,4471798,40.39466755008527,-3.700396761468562
4551096,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),Not informed Value,"De lunes a jueves, de 10 a 12 horas y de 16:30 a 19 horas. Viernes, de 10 a 12 horas y de 16:30 a 18 horas.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD,SEPTIMA,AVENIDA,V,11,MADRID,MADRID,28022,6,REJAS,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,449281,4477704,40.44844757572015,-3.598099871155595
