name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,100022917682,E09000008,Fairfield,E05011468,51.37138431,-0.097931813,532492.4013999999,165308.33520000055
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035,E09000007,Bloomsbury,E05013653,51.52013303,-0.127116688,530038.1683999998,181797.03140000068
The Foundling Museum,40 Brunswick Square,NA,NA,Camden,http://www.foundlingmuseum.org.uk/,5002560,E09000007,King's Cross,E05013666,51.52475979,-0.12006408,530514.2189999996,182324.07349999994
Freud Museum,20 Maresfield Gardens,NA,NA,Camden,https://www.freud.org.uk/,5012934,E09000007,Belsize,E05013652,51.54791475,-0.175669217,526592.7640000004,184801.33249999955
Keats House,10 Keats Grove,Hampstead,NA,Camden,http://www.cityoflondon.gov.uk/keats,5015415,E09000007,Hampstead Town,E05013659,51.55506318,-0.166351857,527218.8354000002,185612.40919999965
British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5027059,E09000007,Bloomsbury,E05013653,51.51846067,-0.124893237,530197.1876999997,181615.0128000006
2 Willow Road,Hampstead,NA,NA,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722,E09000007,Hampstead Town,E05013659,51.5566561,-0.167571832,527129.8261000002,185787.42879999988
British Library,96 Euston Road London,NW1 2DBÂ ,NA,Camden,http://www.bl.uk/,5037737,E09000007,King's Cross,E05013666,51.52947699,-0.125406634,530130.1731000002,182839.12380000018
Burgh House and Hampstead Museum,New End Square,Hampstead,NA,Camden,www.burghhouse.org.uk/,5067420,E09000007,Hampstead Town,E05013659,51.55767471,-0.173489583,526716.7827000003,185890.44260000065
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regentâ€™s Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347,E09000007,Regent's Park,E05013668,51.52523946,-0.143400913,528894.0379999997,182336.08809999935
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,NA,Camden,http://www.jewishmuseum.org.uk/,5082327,E09000007,Camden Town,E05013655,51.53677278,-0.143061343,528885.0285999998,183619.20519999973
Wellcome Collection,183 Euston Road,NA,NA,Camden,http://www.wellcomecollection.org/,5083806,E09000007,Bloomsbury,E05013653,51.52538756,-0.132336523,529661.1229999997,182372.08589999937
Government Art Collection,Queen's Yard,179a Tottenham Court Rd,NA,Camden,www.gac.culture.gov.uk/,5087928,E09000007,Bloomsbury,E05013653,51.52177882,-0.133320357,529603.119,181969.04949999973
Fenton House and Garden,Hampstead Grove,Hampstead,NA,Camden,https://www.nationaltrust.org.uk/fenton-house-and-garden,5126160,E09000007,Hampstead Town,E05013659,51.55840996,-0.178553228,526363.7461000001,185963.4528000001
Sir John Soane's Museum,13 Lincolnâ€™s Inn Fields,NA,NA,Camden,http://www.soane.org/,5137612,E09000007,Holborn & Covent Garden,E05013662,51.51648243,-0.115936351,530824.2594999997,181410.98890000023
Ben Uri Gallery and Museum,108A Boundary Road,off Abbey Rd,St Johnâ€™s Wood,Westminster,www.benuri.org.uk,5144462,E09000033,Abbey Road,E05013792,51.53703278,-0.183790989,526059.7154000001,183577.2218999993
"Grant Museum of Zoology and Comparative Anatomy, UCL",21 University Street,NA,NA,Camden,https://www.ucl.ac.uk/culture/grant-museum-zoology,5157295,E09000007,Bloomsbury,E05013653,51.52311501,-0.133078286,529616.1195,182118.06340000033
Petrie Museum of Egyptian Archaeology,University College London,Malet Place,NA,Camden,http://www.culture24.org.uk/se000386,5157395,E09000007,Bloomsbury,E05013653,51.52353919,-0.130912785,529765.1357000005,182169.06689999998
"Geology (and Teaching & Research) Collections, UCL",Rock Room,"Room 4, First Floor",South Wing,Camden,https://www.ucl.ac.uk/culture/geology-collection,5157402,E09000007,Bloomsbury,E05013653,51.52359052,-0.13187663,529698.1283,182173.06770000048
UCL Art Museum,South Cloisters,UCL,NA,Camden,http://www.ucl.ac.uk/museums/uclart,5157412,E09000007,Bloomsbury,E05013653,51.52399221,-0.131687181,529710.1293000001,182218.07139999978
Crystal Palace Museum,Anerley Hill,NA,NA,Bromley,www.crystalpalacemuseum.org.uk/,100023247277,E09000006,Crystal Palace & Anerley,E05013995,51.41925428,-0.075116344,533940.5738000004,170672.9785999991
Cartoon Museum,35 Little Russell Street,NA,NA,Camden,http://www.cartoonmuseum.org/,5158052,E09000007,Holborn & Covent Garden,E05013662,51.51717636,-0.124441464,530232.1928000003,181472.99939999916
