name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Palace Theatre,Shaftesbury Avenue,,,Westminster,https://www.nimaxtheatres.com/theatres/palace-theatre/,10033553103,E09000033,West End,E05013808,51.51308657,-0.129627602,529884.0118000004,181009.00269999914
Eventim Apollo Hammersmith,45 Queen Caroline Street,,,Hammersmith and Fulham,https://www.eventimapollo.com/,34030384,E09000013,Hammersmith Broadway,E05013741,51.49069334,-0.224422616,523367.0137,178355.00180000067
Islington Assembly Hall,Upper Street,,,Islington,https://islingtonassemblyhall.co.uk/,5300094897,E09000019,Laycock,E05013708,51.54433219,-0.103612127,531599.0107000005,184530.00009999983
Freed of London,94 St Martins Lane,,,Westminster,https://www.freedoflondon.com/,10033553950,E09000033,St James's,E05013806,51.51065608,-0.127219602,530058.0119000003,180743.0022
Federation of Patidar Associations,22 London Road,,,Brent,https://www.patidars.org/,202073653,E09000005,Wembley Hill,E05013515,51.55229548,-0.294982599,518309.00989999995,185089.00420000032
Old Red Lion,418 St John Street,,,Islington,https://www.oldredliontheatre.co.uk/theatre.html,5300085363,E09000019,St Peter's & Canalside,E05013711,51.53148185,-0.105847779,531481.0125000002,183097.00100000016
Rose Theatre,24-26 High Street,,,Kingston upon Thames,http://www.rosetheatrekingston.org,128029778,E09000021,Kingston Town,E05013938,51.4086431,-0.307594201,517804.0142000001,169094.00070000067
Greenwich Theatre,3 Crooms Hill,,,Greenwich,,10010200382,E09000011,Greenwich Park,E05014081,51.47946415,-0.007621808,538451.2292,177493.6952999998
Alexandra Palace,33 Alexandra Palace Way,,,Haringey,http://www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.59448347,-0.130501429,529592.0124000004,190059.00039999932
Apollo Victoria Theatre,17 Wilton Rd,,,Westminster,http://www.apollovictoriatheatre.org/about-us/,100023340605,E09000033,Pimlico North,E05013802,51.49577576,-0.142654424,529029.0137,179061.0030000005
The Arc Theatre,Kingsley Hall,Parsloes Avenue,Dagenham,Barking and Dagenham,http://www.arctheatre.com,100023868,E09000002,Parsloes,E05014067,51.55107,0.13149,547878.568,185728.2067000009
Barbican Centre Theatre,1C Silk St,,,City of London,http://www.barbican.org.uk,95512045,E09000001,Cripplegate,E05009302,51.51996231,-0.094106846,532328.7127,181837.16819999926
Barons Court Theatre,28a Comeragh Road,,,Hammersmith and Fulham,http://www.offwestend.com/index.php/theatres/view/42,34128758,E09000013,West Kensington,E05013751,51.48943219,-0.209490815,524407.0153000001,178240.0033999998
Bloomsbury Theatre,15 Gordon Street,,,Camden,https://www.doylecollection.com/hotels/the-bloomsbury-hotel?utm_source=google&utm_ca?î?á¬™,5007085,E09000007,Bloomsbury,E05013653,51.52506973,-0.132754789,529633.0115,182336.0025999993
Brady Arts & Community Centre,192-196 Hanbury Street,,,Tower Hamlets,http://www.towerhamletsarts.org.uk/?s=3&v=15&guide=AllAges,6011121,E09000030,Spitalfields & Banglatown,E05009333,51.51941799,-0.065368543,534324.0120000001,181829.00320000015
Bread and Roses,68 Clapham Manor St,,,Lambeth,https://www.breadandrosestheatre.co.uk,100021824058,E09000022,Clapham Town,E05014102,51.46586805,-0.136540351,529538.0115999999,175746.00249999948
Broadway Theatre, Broadway,Barking,,Barking and Dagenham,http://www.thebroadwaybarking.com/sales,100058301,E09000002,Abbey,E05014053,51.53555,0.07777,544203.3701,183895.19620000012
Cadogan Hall,5 Sloane Terrace,,,Kensington and Chelsea,http://www.cadoganhall.com,217078765,E09000020,Royal Hospital,E05009403,51.49386601,-0.157267874,528020.0127999997,178823.00269999914
Cambridge Theatre,Earlham St,,,Camden,https://www.cambridgeartstheatre.com,5089373,E09000007,Holborn & Covent Garden,E05013662,51.51351139,-0.126381824,530108.0115,181062.00329999998
Canal Cafe Theatre,13 Westbourne Terrace Rd,,,Westminster,https://canalcafetheatre.com/contact,100022819209,E09000033,Westbourne,E05013809,51.52103082,-0.184236365,526073.0127999997,181797.00320000015
Charing Cross Theatre,The Arches,Villiers St,,Westminster,http://www.charingcrosstheatre.co.uk,10033582545,E09000033,St James's,E05013806,51.50808822,-0.124096963,530282.0122999996,180463.00249999948
Hampstead Theatre,62 Eton Avenue,,,Camden,www.hampsteadtheatre.com,5134828,E09000007,Primrose Hill,E05013667,51.54382562,-0.173709262,526740.0115999999,184350.0030000005
ICA,Nash House,,,Westminster,www.ica.art/venue-hire/,100023349637,E09000033,St James's,E05013806,51.50638923,-0.130896308,529815.0122999996,180262.0025999993
London Palladium,1-4 Argyll Street,,,Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/london-palladium/,10033529083,E09000033,West End,E05013808,51.51436,-0.14022,529145.4522000002,181131.88099999912
Lost Theatre,208 Wandsworth Road,,,Lambeth,http://www.losttheatre.co.uk,10023851231,E09000022,Stockwell West & Larkhall,E05014111,51.47552393,-0.131821282,529838.4115000004,176828.10339999944
Lyceum Theatre,21 Wellington Street,,,Westminster,http://www.lyceum-theatre.co.uk,10033572107,E09000033,St James's,E05013806,51.51142368,-0.120111955,530549.0118000004,180841.00310000032
Millfield Arts Centre,Silver Street,Edmonton,,Enfield,https://www.millfieldtheatre.co.uk,207015826,E09000010,Haselbury,E05013682,51.61595447,-0.080219224,533012.0120999999,192537.0036999993
New Diorama Theatre Broadgate (NDT),15-16 Triton Street,,,Camden,,5155688,E09000007,Regent's Park,E05013668,51.52503273,-0.141751873,529009.0113000004,182316.00280000083
Noel Coward Theatre,85-88 St Martin's Lane,,,Westminster,,100023432653,E09000033,St James's,E05013806,51.51110956,-0.127460405,530040.0118000004,180793.0022
Park Theatre,Clifton Terrace,Finsbury Park,,Islington,https://www.parktheatre.co.uk,10090266645,E09000019,Finsbury Park,E05013703,51.56563594,-0.108641889,531189.0137999998,186889.99939999916
Peacock Theatre,4 Portugal Street,,,Westminster,http://peacocktheatre.com,100023430213,E09000033,St James's,E05013806,51.51462706,-0.117991055,530687.0118000004,181201.0030000005
Phoenix Theatre,110 Charing Cross Rd,,,Camden,http://www.atgtickets.com/venues/phoenix-theatre/,5037592,E09000007,Holborn & Covent Garden,E05013662,51.51452424,-0.129554271,529885.0116999997,181169.00310000032
Piccadilly Theatre,16 Denman Theatre,,,Westminster,http://www.piccadillytheatre.org,100023472891,E09000033,West End,E05013808,51.51105578,-0.135374572,529491.0121999998,180773.0019000005
Playhouse Theatre,Northumberland Avenue,,,Westminster,http://www.playhousetheatrelondon.com/tickets/,100023432701,E09000033,St James's,E05013806,51.50696648,-0.12368193,530314.0122999996,180339.0022
The Queen's Theatre,Billet Lane,,,Havering,http://www.queens-theatre.co.uk,100023213219,E09000016,St Andrew's,E05013982,51.56521058,0.219444297,553928.3877999997,187481.92510000058
Richmond Theatre,15 Little Green,,,Richmond upon Thames,,10002264543,E09000027,South Richmond,E05013786,51.46212985,-0.303844781,517927.0120000001,175048.00310000032
Roundhouse,Chalk Farm Rd,,,Camden,http://www.roundhouse.org.uk,5090672,E09000007,Camden Town,E05013655,51.54323234,-0.151898608,528254.0121999998,184322.0025999993
